student_id,target_course_id,course_title,category,completion_status,dropout_risk_level,days_since_last_activity,quiz_average,sessions_per_week,engagement_score,is_at_risk
S0001,C002,SQL Database Analytics,Database,In Progress,Moderate,21,76.1,0.42,52.4,0
S0002,C004,Web Development,Development,Completed,Moderate,27,89.55,0.33,41.82,0
S0003,C002,SQL Database Analytics,Database,Completed,Moderate,14,77.43,0.17,45.07,0
S0004,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,Moderate,13,71.07,0.08,32.58,0
S0005,C002,SQL Database Analytics,Database,In Progress,Low,17,61.76,0.34,74.89,0
S0006,C002,SQL Database Analytics,Database,Completed,Moderate,16,97.2,0.34,53.12,0
S0007,C004,Web Development,Development,Dropped,Moderate,11,53.9,0.51,48.05,0
S0008,C004,Web Development,Development,In Progress,Moderate,25,78.87,0.42,47.51,0
S0009,C002,SQL Database Analytics,Database,Completed,Moderate,9,92.16,0.26,47.66,0
S0010,C004,Web Development,Development,In Progress,Moderate,4,56.4,0.26,37.16,0
S0011,C002,SQL Database Analytics,Database,Completed,Moderate,20,72.83,0.0,28.67,0
S0012,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,Moderate,3,63.15,0.26,50.5,0
S0013,C004,Web Development,Development,In Progress,Moderate,0,69.55,0.17,33.52,0
S0014,C002,SQL Database Analytics,Database,In Progress,Moderate,33,83.2,0.17,51.64,0
S0015,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,Moderate,1,80.15,0.52,39.5,0
S0016,C002,SQL Database Analytics,Database,In Progress,Moderate,22,72.0,0.35,59.19,0
S0017,C001,Python for Data Science,Data Science,In Progress,Moderate,16,75.05,0.26,55.38,0
S0018,C001,Python for Data Science,Data Science,Dropped,Moderate,36,82.6,0.0,30.0,0
S0019,C002,SQL Database Analytics,Database,In Progress,Moderate,16,64.3,0.35,53.19,0
S0020,C004,Web Development,Development,In Progress,Low,8,73.03,0.09,68.06,0
S0021,C001,Python for Data Science,Data Science,Completed,High,16,98.2,0.35,20.73,1
S0022,C002,SQL Database Analytics,Database,Completed,Moderate,15,76.9,0.44,59.75,0
S0023,C003,Machine Learning Fundamentals,AI & Machine Learning,In Progress,Moderate,4,75.9,0.0,24.17,0
S0024,C001,Python for Data Science,Data Science,In Progress,Moderate,2,62.65,0.27,39.19,0
S0025,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,High,27,0.0,0.27,17.67,1
S0026,C002,SQL Database Analytics,Database,Dropped,Moderate,25,75.4,0.36,39.61,0
S0027,C004,Web Development,Development,Dropped,High,18,60.83,0.27,21.69,1
S0028,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,Moderate,26,76.9,0.09,35.11,0
S0029,C003,Machine Learning Fundamentals,AI & Machine Learning,In Progress,Moderate,31,64.2,0.09,39.95,0
S0030,C001,Python for Data Science,Data Science,Completed,High,23,91.7,0.36,16.23,1
S0031,C002,SQL Database Analytics,Database,In Progress,Moderate,3,57.7,0.18,41.62,0
S0032,C004,Web Development,Development,Completed,Moderate,20,93.4,0.18,47.82,0
S0033,C001,Python for Data Science,Data Science,In Progress,Moderate,2,83.15,0.0,33.75,0
S0034,C004,Web Development,Development,In Progress,High,21,0.0,0.37,22.31,1
S0035,C002,SQL Database Analytics,Database,In Progress,Moderate,12,68.1,0.09,46.66,0
S0036,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,Moderate,23,98.4,0.18,46.28,0
S0037,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,Moderate,0,56.55,0.37,37.56,0
S0038,C002,SQL Database Analytics,Database,Completed,Moderate,17,80.56,0.47,61.16,0
S0039,C002,SQL Database Analytics,Database,Completed,Moderate,18,67.2,0.37,53.31,0
S0040,C003,Machine Learning Fundamentals,AI & Machine Learning,In Progress,High,19,0.0,0.19,21.19,1
S0041,C001,Python for Data Science,Data Science,Completed,Moderate,22,65.1,0.19,47.79,0
S0042,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,Moderate,14,75.93,0.28,55.46,0
S0043,C001,Python for Data Science,Data Science,Dropped,Moderate,11,56.95,0.28,55.87,0
S0044,C003,Machine Learning Fundamentals,AI & Machine Learning,Completed,Low,5,78.68,0.28,61.75,0
S0045,C003,Machine Learning Fundamentals,AI & Machine Learning,Dropped,High,43,0.0,0.48,20.9,1
S0046,C001,Python for Data Science,Data Science,Completed,Moderate,8,72.75,0.0,35.0,0
S0047,C004,Web Development,Development,In Progress,Moderate,16,0.0,0.77,24.51,0
S0048,C002,SQL Database Analytics,Database,Completed,Low,1,84.43,0.19,64.19,0
S0049,C004,Web Development,Development,Dropped,Moderate,6,83.95,0.58,43.62,0
S0050,C001,Python for Data Science,Data Science,Completed,Moderate,10,79.3,0.19,51.13,0
