customer_id,revenue,age,sessions,revenue_zscore,age_zscore,sessions_zscore,revenue_is_outlier,age_is_outlier,sessions_is_outlier,revenue_capped,age_capped,sessions_capped,any_outlier
CUST0001,98000.0,69.0,18.0,11.423779499407848,1.1969916555695566,0.05110950249363107,1,0,0,3011.3312499999997,69.0,18.0,1
CUST0002,0.01,58.0,23.0,0.23496413307959804,0.6460749940103463,0.056489450124539604,0,0,0,0.01,58.0,23.0,0
CUST0003,45000.0,34.0,22.0,5.11853995273203,0.5559249948461121,0.03496965960090547,1,0,0,3011.3312499999997,34.0,22.0,1
CUST0004,55000.0,68.0,4.0,6.308207791727467,1.1469083227005374,0.35238656982450894,1,0,0,3011.3312499999997,68.0,4.0,1
CUST0005,233.65,43.0,24.0,0.20716873368930863,0.10517499902494018,0.07800924064817374,0,0,0,233.65,43.0,24.0,0
CUST0006,1952.46,44.0,16.0,0.002687435854933909,0.055091666155921086,0.09414908354089935,0,0,0,1952.46,44.0,16.0,0
CUST0007,1534.22,40.0,10.0,0.052444103553079074,0.2554249976319975,0.22326782668270415,0,0,0,1534.22,40.0,10.0,0
CUST0008,1582.83,25.0,15.0,0.046661128187722264,1.006674990667284,0.11566887406453348,0,0,0,1582.83,25.0,15.0,0
CUST0009,299.82,66.0,29.0,0.19929670159867585,1.0467416569624992,0.18560819326634442,0,0,0,299.82,66.0,29.0,0
CUST0010,928.25,18.0,25.0,0.12453440559268558,1.3572583207504176,0.09952903117180788,0,0,0,928.25,18.0,25.0,0
CUST0011,773.06,,25.0,0.14299686078605578,5.5041582823052,0.09952903117180788,0,1,0,773.06,,25.0,1
CUST0012,1857.19,,14.0,0.014021401357043436,6.355574941078524,0.1371886645881676,0,1,0,1857.19,,14.0,1
CUST0013,1305.54,,23.0,0.07964942769522673,2.2587583123927617,0.056489450124539604,0,1,0,1305.54,,23.0,1
CUST0014,1654.39,24.0,12.0,0.0381478651318709,1.0567583235363032,0.18022824563543588,0,0,0,1654.39,24.0,12.0,0
CUST0015,914.66,18.0,20.0,0.12615116418588038,1.3572583207504176,0.0080699214463628,0,0,0,914.66,18.0,20.0,0
CUST0016,493.12,53.0,19.0,0.176300422270894,0.39565832966525083,0.029589711969996935,0,0,0,493.12,53.0,19.0,0
CUST0017,1131.44,68.0,8.0,0.10036154477213728,1.1469083227005374,0.2663074077299724,0,0,0,1131.44,68.0,8.0,0
CUST0018,174.44,24.0,8.0,0.2142127569640006,1.0567583235363032,0.2663074077299724,0,0,0,174.44,24.0,8.0,0
CUST0019,1663.88,33.0,2.0,0.03701887035266423,0.6060083277151312,0.39542615087177724,0,0,0,1663.88,33.0,2.0,0
CUST0020,1281.75,44.0,5.0,0.08247964748419688,0.055091666155921086,0.3308667793008748,0,0,0,1281.75,44.0,5.0,0
CUST0021,1528.27,66.0,500.0,0.05315195591728136,1.0467416569624992,10.321429529898023,0,0,1,1528.27,66.0,44.0,1
CUST0022,741.33,54.0,450.0,0.14677167683918826,0.44574166253426994,9.245440003716315,0,0,1,741.33,54.0,44.0,1
CUST0023,1942.86,57.0,5.0,0.0038295169803695445,0.5959916611413273,0.3308667793008748,0,0,0,1942.86,57.0,5.0,0
CUST0024,1791.59,48.0,13.0,0.021825622380853518,0.14524166532015534,0.15870845511180173,0,0,0,1791.59,48.0,13.0,0
CUST0025,1567.85,39.0,18.0,0.04844325061053743,0.3055083305010166,0.05110950249363107,0,0,0,1567.85,39.0,18.0,0
CUST0026,429.55,28.0,7.0,0.18386314072338802,0.8564249920602267,0.28782719825360653,0,0,0,429.55,28.0,7.0,0
CUST0027,960.11,62.0,10.0,0.12074412385764612,0.8464083254864228,0.22326782668270415,0,0,0,960.11,62.0,10.0,0
CUST0028,135.42,59.0,11.0,0.21885484087176083,0.6961583268793654,0.20174803615907003,0,0,0,135.42,59.0,11.0,0
CUST0029,350.86,19.0,15.0,0.19322463694844313,1.3071749878813987,0.11566887406453348,0,0,0,350.86,19.0,15.0,0
CUST0030,1381.95,55.0,11.0,0.07055917573746259,0.49582499540328906,0.20174803615907003,0,0,0,1381.95,55.0,11.0,0
CUST0031,1502.29,22.0,22.0,0.05624271296299151,1.1569249892743414,0.03496965960090547,0,0,0,1502.29,22.0,22.0,0
CUST0032,1936.64,56.0,10.0,0.004569490376224683,0.5459083282723082,0.22326782668270415,0,0,0,1936.64,56.0,10.0,0
CUST0033,685.36,60.0,13.0,0.15343024773404576,0.7462416597483845,0.15870845511180173,0,0,0,685.36,60.0,13.0,0
CUST0034,772.4,24.0,12.0,0.14307537886342947,1.0567583235363032,0.18022824563543588,0,0,0,772.4,24.0,12.0,0
CUST0035,965.63,40.0,6.0,0.12008742721052064,0.2554249976319975,0.3093469887772407,0,0,0,965.63,40.0,6.0,0
CUST0036,419.47,24.0,20.0,0.18506232590509542,1.0567583235363032,0.0080699214463628,0,0,0,419.47,24.0,20.0,0
CUST0037,303.35,47.0,7.0,0.19887674885151044,0.09515833245113622,0.28782719825360653,0,0,0,303.35,47.0,7.0,0
CUST0038,977.62,66.0,9.0,0.1186610154715651,1.0467416569624992,0.2447876172063383,0,0,0,977.62,66.0,9.0,0
CUST0039,492.47,22.0,23.0,0.17637775068042874,1.1569249892743414,0.056489450124539604,0,0,0,492.47,22.0,23.0,0
CUST0040,1356.14,38.0,28.0,0.0736297084299098,0.35559166337003567,0.16408840274271028,0,0,0,1356.14,38.0,28.0,0
CUST0041,902.45,68.0,20.0,0.1276037486172938,1.1469083227005374,0.0080699214463628,0,0,0,902.45,68.0,20.0,0
CUST0042,1673.72,33.0,27.0,0.035848237199092726,0.6060083277151312,0.14256861221907616,0,0,0,1673.72,33.0,27.0,0
CUST0043,1415.52,24.0,25.0,0.06656546080195491,1.0567583235363032,0.09952903117180788,0,0,0,1415.52,24.0,25.0,0
CUST0044,659.11,43.0,14.0,0.1565531258114088,0.10517499902494018,0.1371886645881676,0,0,0,659.11,43.0,14.0,0
CUST0045,1672.91,44.0,23.0,0.035944600294051346,0.055091666155921086,0.056489450124539604,0,0,0,1672.91,44.0,23.0,0
CUST0046,1619.29,52.0,10.0,0.0423235992467449,0.3455749967962317,0.22326782668270415,0,0,0,1619.29,52.0,10.0,0
CUST0047,805.58,34.0,14.0,0.13912806097364258,0.5559249948461121,0.1371886645881676,0,0,0,805.58,34.0,14.0,0
CUST0048,612.24,67.0,16.0,0.16212909897278038,1.0968249898315183,0.09414908354089935,0,0,0,612.24,67.0,16.0,0
CUST0049,1380.87,45.0,28.0,0.07068765986407412,0.005008333286901982,0.16408840274271028,0,0,0,1380.87,45.0,28.0,0
CUST0050,322.52,32.0,25.0,0.1965961556041562,0.6560916605841504,0.09952903117180788,0,0,0,322.52,32.0,25.0,0
CUST0051,439.82,67.0,15.0,0.18264135185273972,1.0968249898315183,0.11566887406453348,0,0,0,439.82,67.0,15.0,0
CUST0052,64.36,66.0,19.0,0.22730862053566242,1.0467416569624992,0.029589711969996935,0,0,0,64.36,66.0,19.0,0
CUST0053,1584.5,43.0,6.0,0.046462453658610015,0.10517499902494018,0.3093469887772407,0,0,0,1584.5,43.0,6.0,0
CUST0054,1346.46,19.0,24.0,0.0747813068980574,1.3071749878813987,0.07800924064817374,0,0,0,1346.46,19.0,24.0,0
CUST0055,1425.07,49.0,17.0,0.06542932801571429,0.19532499818917443,0.0726292930172652,0,0,0,1425.07,49.0,17.0,0
CUST0056,1572.42,46.0,16.0,0.0478995724081165,0.04507499958211712,0.09414908354089935,0,0,0,1572.42,46.0,16.0,0
