customer_id,product,amount,transaction_date,day_of_week,day_num,hour,month,month_name,is_weekend,week_num,year,days_since_last_purchase,recency_segment
C004,Electronics,373.36,2024-07-09 05:06:54,Tuesday,1,5,7,July,0,28,2024,19,Active (<=30 days)
C008,Clothing,370.87,2025-02-27 14:22:08,Thursday,3,14,2,February,0,9,2025,13,Active (<=30 days)
C003,Books,216.74,2024-01-24 03:27:37,Wednesday,2,3,1,January,0,4,2024,41,At-risk (31-90 days)
C003,Clothing,124.0,2024-01-21 14:39:58,Sunday,6,14,1,January,1,3,2024,41,At-risk (31-90 days)
C018,Clothing,360.85,2025-02-27 06:26:43,Thursday,3,6,2,February,0,9,2025,1,Active (<=30 days)
C014,Clothing,230.11,2024-08-04 01:51:02,Sunday,6,1,8,August,1,31,2024,53,At-risk (31-90 days)
C001,Clothing,352.09,2024-09-21 06:43:45,Saturday,5,6,9,September,1,38,2024,16,Active (<=30 days)
C009,Clothing,115.5,2024-09-18 10:34:37,Wednesday,2,10,9,September,0,38,2024,15,Active (<=30 days)
C004,Electronics,196.16,2024-10-05 19:51:38,Saturday,5,19,10,October,1,40,2024,19,Active (<=30 days)
C012,Books,139.62,2024-02-03 17:58:29,Saturday,5,17,2,February,1,5,2024,33,At-risk (31-90 days)
C015,Books,71.16,2024-10-21 00:23:32,Monday,0,0,10,October,0,43,2024,8,Active (<=30 days)
C003,Books,153.66,2024-10-07 21:21:55,Monday,0,21,10,October,0,41,2024,41,At-risk (31-90 days)
C019,Clothing,355.24,2024-02-05 14:13:42,Monday,0,14,2,February,0,6,2024,18,Active (<=30 days)
C008,Home Appliances,492.76,2024-06-29 19:32:11,Saturday,5,19,6,June,1,26,2024,13,Active (<=30 days)
C004,Sports,146.21,2024-10-10 08:57:53,Thursday,3,8,10,October,0,41,2024,19,Active (<=30 days)
C006,Home Appliances,184.08,2024-07-26 08:49:38,Friday,4,8,7,July,0,30,2024,27,Active (<=30 days)
C003,Books,321.14,2025-02-18 21:05:20,Tuesday,1,21,2,February,0,8,2025,41,At-risk (31-90 days)
C008,Clothing,236.51,2024-07-28 16:11:31,Sunday,6,16,7,July,1,30,2024,13,Active (<=30 days)
C018,Clothing,345.46,2024-02-13 10:45:32,Tuesday,1,10,2,February,0,7,2024,1,Active (<=30 days)
C008,Electronics,404.47,2024-11-07 14:15:13,Thursday,3,14,11,November,0,45,2024,13,Active (<=30 days)
C009,Electronics,113.38,2025-03-16 13:00:08,Sunday,6,13,3,March,1,11,2025,15,Active (<=30 days)
C011,Clothing,331.16,2024-11-03 07:06:47,Sunday,6,7,11,November,1,44,2024,25,Active (<=30 days)
C015,Clothing,139.79,2024-07-10 13:28:11,Wednesday,2,13,7,July,0,28,2024,8,Active (<=30 days)
C018,Books,138.74,2025-03-30 01:28:21,Sunday,6,1,3,March,1,13,2025,1,Active (<=30 days)
C014,Books,205.71,2024-06-19 08:26:06,Wednesday,2,8,6,June,0,25,2024,53,At-risk (31-90 days)
C005,Books,251.82,2024-02-06 14:18:46,Tuesday,1,14,2,February,0,6,2024,36,At-risk (31-90 days)
C004,Clothing,317.45,2024-11-23 21:37:55,Saturday,5,21,11,November,1,47,2024,19,Active (<=30 days)
C020,Electronics,198.54,2024-12-29 13:04:56,Sunday,6,13,12,December,1,52,2024,3,Active (<=30 days)
C017,Home Appliances,485.83,2024-01-09 22:01:18,Tuesday,1,22,1,January,0,2,2024,34,At-risk (31-90 days)
C004,Books,377.93,2024-09-21 05:19:49,Saturday,5,5,9,September,1,38,2024,19,Active (<=30 days)
C004,Home Appliances,223.03,2024-12-18 10:01:22,Wednesday,2,10,12,December,0,51,2024,19,Active (<=30 days)
C001,Home Appliances,486.23,2024-05-18 18:18:44,Saturday,5,18,5,May,1,20,2024,16,Active (<=30 days)
C017,Electronics,436.55,2024-08-19 19:24:50,Monday,0,19,8,August,0,34,2024,34,At-risk (31-90 days)
C017,Books,107.47,2024-10-17 10:15:33,Thursday,3,10,10,October,0,42,2024,34,At-risk (31-90 days)
C006,Books,477.21,2025-02-15 22:30:32,Saturday,5,22,2,February,1,7,2025,27,Active (<=30 days)
C001,Books,168.84,2024-01-16 03:04:22,Tuesday,1,3,1,January,0,3,2024,16,Active (<=30 days)
C004,Home Appliances,440.57,2024-08-26 20:28:43,Monday,0,20,8,August,0,35,2024,19,Active (<=30 days)
C008,Electronics,128.03,2025-03-16 16:17:59,Sunday,6,16,3,March,1,11,2025,13,Active (<=30 days)
C003,Electronics,368.63,2024-02-23 18:12:53,Friday,4,18,2,February,0,8,2024,41,At-risk (31-90 days)
C018,Clothing,72.91,2025-01-04 03:54:20,Saturday,5,3,1,January,1,1,2025,1,Active (<=30 days)
C018,Clothing,139.88,2024-11-24 15:51:46,Sunday,6,15,11,November,1,47,2024,1,Active (<=30 days)
C007,Books,380.08,2024-06-05 05:43:39,Wednesday,2,5,6,June,0,23,2024,2,Active (<=30 days)
