transaction_date,weekly_revenue,transaction_count,avg_transaction
2024-01-07,1181.71,5,236.34
2024-01-14,485.83,1,485.83
2024-01-21,1601.7,8,200.21
2024-01-28,909.86,4,227.46
2024-02-04,1808.38,6,301.4
2024-02-11,1189.16,5,237.83
2024-02-18,1165.71,4,291.43
2024-02-25,1143.48,6,190.58
2024-03-03,1981.04,6,330.17
2024-03-10,991.66,4,247.92
2024-03-17,631.42,2,315.71
2024-03-24,1937.91,8,242.24
2024-03-31,540.45,3,180.15
2024-04-07,1949.57,7,278.51
2024-04-14,482.79,3,160.93
2024-04-21,963.61,3,321.2
2024-04-28,64.82,1,64.82
2024-05-05,911.98,3,303.99
2024-05-12,398.93,1,398.93
2024-05-19,803.24,3,267.75
2024-05-26,894.07,2,447.04
2024-06-02,1631.79,5,326.36
2024-06-09,804.28,2,402.14
2024-06-16,776.97,4,194.24
2024-06-23,2287.87,8,285.98
2024-06-30,1476.54,5,295.31
2024-07-07,2006.8,6,334.47
2024-07-14,1729.95,7,247.14
2024-07-21,486.34,3,162.11
2024-07-28,2617.88,9,290.88
2024-08-04,3123.61,10,312.36
2024-08-11,498.55,2,249.28
2024-08-18,691.77,2,345.88
2024-08-25,1796.11,5,359.22
2024-09-01,1102.9,4,275.73
2024-09-08,790.42,3,263.47
2024-09-15,1275.58,5,255.12
2024-09-22,2155.27,8,269.41
2024-09-29,583.52,2,291.76
2024-10-06,472.95,2,236.48
2024-10-13,775.64,3,258.55
2024-10-20,1243.42,4,310.86
2024-10-27,1027.1,7,146.73
2024-11-03,520.39,2,260.2
2024-11-10,1478.07,6,246.34
2024-11-17,1944.65,7,277.81
2024-11-24,1395.23,5,279.05
2024-12-01,702.79,5,140.56
2024-12-08,1046.99,4,261.75
2024-12-15,864.3,4,216.08
2024-12-22,1190.89,5,238.18
2024-12-29,1941.18,7,277.31
2025-01-05,948.0,6,158.0
2025-01-12,1521.78,6,253.63
2025-01-19,964.81,4,241.2
2025-01-26,0.0,0,
2025-02-02,667.62,3,222.54
2025-02-09,229.05,3,76.35
2025-02-16,1678.16,4,419.54
2025-02-23,2649.24,12,220.77
2025-03-02,1840.83,7,262.98
2025-03-09,1202.15,5,240.43
2025-03-16,1025.65,6,170.94
2025-03-23,1224.8,4,306.2
2025-03-30,1592.79,6,265.46
