session_id,student_id,course_id,session_start,session_end,duration_minutes,active_minutes,idle_minutes,video_watched_minutes,reading_minutes,modules_accessed,session_date,session_year,session_month,session_month_name,session_day,session_weekday,session_weekday_name,session_is_weekend,session_week,session_week_number,session_hour,session_day_part,duration_minutes_outlier_class,duration_minutes_is_outlier,active_minutes_outlier_class,active_minutes_is_outlier,idle_minutes_outlier_class,idle_minutes_is_outlier,video_watched_minutes_outlier_class,video_watched_minutes_is_outlier,reading_minutes_outlier_class,reading_minutes_is_outlier,modules_accessed_outlier_class,modules_accessed_is_outlier,session_year_outlier_class,session_year_is_outlier,session_month_outlier_class,session_month_is_outlier,session_day_outlier_class,session_day_is_outlier,session_weekday_outlier_class,session_weekday_is_outlier,session_is_weekend_outlier_class,session_is_weekend_is_outlier,session_week_outlier_class,session_week_is_outlier,session_week_number_outlier_class,session_week_number_is_outlier,session_hour_outlier_class,session_hour_is_outlier
SES00085,S0022,C002,2026-02-22 00:00:00,2026-02-22 01:00:00,60.0,54.4,10.6,33.4,21.1,3,2026-02-22,2026,2,February,22,6,Sunday,1,8,8,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00080,S0036,C001,2026-02-20 18:00:00,2026-02-20 19:00:00,60.0,14.0,7.1,16.7,27.1,4,2026-02-20,2026,2,February,20,4,Friday,0,8,8,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00061,S0009,C003,2026-02-16 00:00:00,2026-02-16 01:00:00,60.0,28.8,8.2,36.2,37.2,3,2026-02-16,2026,2,February,16,0,Monday,0,8,8,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00132,S0042,C002,2026-03-05 18:00:00,2026-03-05 19:00:00,60.0,88.0,8.0,32.3,36.9,2,2026-03-05,2026,3,March,5,3,Thursday,0,10,10,18,Evening,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00122,S0041,C002,2026-03-03 06:00:00,2026-03-03 07:00:00,60.0,73.3,8.0,20.3,11.9,2,2026-03-03,2026,3,March,3,1,Tuesday,0,10,10,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00017,S0024,C004,2026-02-05 00:00:00,2026-02-05 01:00:00,60.0,68.3,16.4,27.8,34.6,2,2026-02-05,2026,2,February,5,3,Thursday,0,6,6,0,Night,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00063,S0014,C002,2026-02-16 12:00:00,2026-02-16 13:00:00,60.0,24.7,19.3,59.1,6.8,3,2026-02-16,2026,2,February,16,0,Monday,0,8,8,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00138,S0027,C002,2026-03-07 06:00:00,2026-03-07 07:00:00,60.0,97.3,2.9,54.6,13.9,4,2026-03-07,2026,3,March,7,5,Saturday,1,10,10,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00022,S0034,C001,2026-02-06 06:00:00,2026-02-06 07:00:00,60.0,48.8,2.1,6.0,29.9,3,2026-02-06,2026,2,February,6,4,Friday,0,6,6,6,Morning,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
SES00143,S0038,C004,2026-03-08 12:00:00,2026-03-08 13:00:00,60.0,41.2,2.6,12.6,29.0,1,2026-03-08,2026,3,March,8,6,Sunday,1,10,10,12,Afternoon,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
