quiz_attempt_id,student_id,course_id,quiz_id,attempt_number,attempt_date,score_percentage,time_taken_minutes,passed,quiz_date,quiz_year,quiz_month,quiz_month_name,quiz_day,quiz_weekday,quiz_weekday_name,quiz_is_weekend,quiz_week,quiz_week_number,attempt_number_outlier_class,attempt_number_is_outlier,score_percentage_outlier_class,score_percentage_is_outlier,time_taken_minutes_outlier_class,time_taken_minutes_is_outlier,quiz_year_outlier_class,quiz_year_is_outlier,quiz_month_outlier_class,quiz_month_is_outlier,quiz_day_outlier_class,quiz_day_is_outlier,quiz_weekday_outlier_class,quiz_weekday_is_outlier,quiz_is_weekend_outlier_class,quiz_is_weekend_is_outlier,quiz_week_outlier_class,quiz_week_is_outlier,quiz_week_number_outlier_class,quiz_week_number_is_outlier
QA00034,S0042,C002,Q2,2,2026-02-21,99.7,18.0,1,2026-02-21,2026,2,February,21,5,Saturday,1,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00090,S0044,C002,Q4,3,2026-03-21,98.9,25.7,1,2026-03-21,2026,3,March,21,5,Saturday,1,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00062,S0038,C001,Q4,3,2026-03-07,98.8,17.0,1,2026-03-07,2026,3,March,7,5,Saturday,1,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00086,S0044,C002,Q5,2,2026-03-19,98.8,26.8,1,2026-03-19,2026,3,March,19,3,Thursday,0,12,12,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00025,S0038,C002,Q1,3,2026-02-17,98.7,28.2,1,2026-02-17,2026,2,February,17,1,Tuesday,0,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00070,S0009,C001,Q9,3,2026-03-11,98.6,16.9,1,2026-03-11,2026,3,March,11,2,Wednesday,0,11,11,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00053,S0036,C001,Q2,3,2026-03-03,98.4,23.0,1,2026-03-03,2026,3,March,3,1,Tuesday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00057,S0021,C004,Q8,1,2026-03-05,98.2,35.8,0,2026-03-05,2026,3,March,5,3,Thursday,0,10,10,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00035,S0028,C002,Q8,1,2026-02-22,97.9,32.3,1,2026-02-22,2026,2,February,22,6,Sunday,1,8,8,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
QA00022,S0002,C004,Q1,2,2026-02-15,97.4,16.6,1,2026-02-15,2026,2,February,15,6,Sunday,1,7,7,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0,Normal,0
